-----------------------------------------------------------
Server listening on 5005
-----------------------------------------------------------
Accepted connection from 192.168.56.105, port 42917
[  5] local 192.168.56.104 port 5005 connected to 192.168.56.105 port 33676
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  2.17 MBytes  18.2 Mbits/sec  0.194 ms  0/278 (0%)  
[  5]   1.00-2.00   sec  2.38 MBytes  20.0 Mbits/sec  0.133 ms  0/305 (0%)  
[  5]   2.00-3.00   sec  2.38 MBytes  20.0 Mbits/sec  0.077 ms  0/305 (0%)  
[  5]   3.00-4.00   sec  2.35 MBytes  19.7 Mbits/sec  0.278 ms  4/305 (1.3%)  
[  5]   4.00-5.00   sec  2.38 MBytes  20.0 Mbits/sec  0.091 ms  0/305 (0%)  
[  5]   5.00-6.00   sec  2.40 MBytes  20.1 Mbits/sec  0.408 ms  0/307 (0%)  
[  5]   6.00-7.00   sec  2.29 MBytes  19.2 Mbits/sec  0.206 ms  11/304 (3.6%)  
[  5]   7.00-8.00   sec  2.38 MBytes  20.0 Mbits/sec  0.167 ms  0/305 (0%)  
[  5]   8.00-9.00   sec  2.38 MBytes  19.9 Mbits/sec  0.119 ms  0/304 (0%)  
[  5]   9.00-10.00  sec  2.39 MBytes  20.0 Mbits/sec  0.092 ms  0/306 (0%)  
[  5]  10.00-11.00  sec  2.38 MBytes  20.0 Mbits/sec  0.102 ms  0/305 (0%)  
[  5]  11.00-12.00  sec  2.39 MBytes  20.1 Mbits/sec  0.133 ms  0/306 (0%)  
[  5]  12.00-13.00  sec  2.38 MBytes  20.0 Mbits/sec  0.104 ms  0/305 (0%)  
[  5]  13.00-14.00  sec  2.38 MBytes  20.0 Mbits/sec  0.127 ms  0/305 (0%)  
[  5]  14.00-15.00  sec  2.38 MBytes  20.0 Mbits/sec  0.161 ms  0/305 (0%)  
[  5]  15.00-16.00  sec  2.39 MBytes  20.1 Mbits/sec  1.447 ms  0/306 (0%)  
[  5]  16.00-17.00  sec  2.38 MBytes  19.9 Mbits/sec  0.085 ms  0/304 (0%)  
[  5]  17.00-18.00  sec  2.39 MBytes  20.0 Mbits/sec  0.140 ms  0/306 (0%)  
[  5]  18.00-19.00  sec  2.38 MBytes  20.0 Mbits/sec  0.070 ms  0/305 (0%)  
[  5]  19.00-20.00  sec  2.38 MBytes  20.0 Mbits/sec  0.128 ms  0/305 (0%)  
[  5]  20.00-20.04  sec  0.00 Bytes  0.00 bits/sec  0.128 ms  0/0 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
[  5]   0.00-20.04  sec  0.00 Bytes  0.00 bits/sec  0.128 ms  15/6076 (0.25%)  
